File Name,Lines
Semanticer.cs,3261
LLVMCodeGenerator.cs,2000
Parser.cs,1280
Lexer.cs,785
AstExpression.cs,773
CppCodeGenerator.cs,567
CType.cs,452
CodeGenerator.cs,450
Scope.cs,444
AstDeclaration.cs,405
AstStatement.cs,382
AstPrinter.cs,362
PTExpressions.cs,305
PTDeclarations.cs,235
PTStatements.cs,217
Linker.cs,204
Extensions.cs,137
Compiler.cs,136
Util.cs,120
IOperator.cs,120
Visitor.cs,96
Workspace.cs,75
PTTypeExpression.cs,73
AttributeKind.cs,72
ErrorHandler.cs,70
OS.cs,64
IRFunction.cs,56
IRInstruction.cs,55
UniqueNameDecorator.cs,49
IRBuilder.cs,48
PTDirective.cs,26
ParseTreeItem.cs,25
IRInterpreter.cs,19
AstDirective.cs,16
ICodeGenerator.cs,9
Total,13388
